"English Name","FCI Breed Group","AKC Breed Group","Czech Name","German Name","Hungarian Name","Japanese Name","Polish Name","Turkish Name"
"Anglo-Français de Petite Venerie","Group 6: Scent hounds and related breeds",NA,"Anglo-franc. honič de Petite Venerie","Anglo-Français de Petite Venerie","Angol-francia de Petite Venerie","アングロ＝フランセ・ド・プティット・ヴェヌリー","Anglo-Français de Petite Venerie","Anglo-Français de Petite Venerie"
"Appenzeller Sennenhunde","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Foundation Stock Services","Appenzellský salašnický pes","Appenzeller Sennenhunde","Appenzelli szarvasmarha","アペンツェラー・ゼネンフント","Appenzeller Sennenhunde","Appenzeller Sennenhunde"
"Ariegeois","Group 6: Scent hounds and related breeds",NA,"Ariégois","Ariègeois","Ariégeai","アリエージョワ","Ariegeois","Ariegeois"
"Australian Cattle Dog","Group 1: Sheepdogs and Cattledogs","Herding Group","Australský honácký pes","Australischer Treibhund","Ausztrál pásztorkutya","オーストラリアン・キャトル・ドッグ","Australisjki Cattle Dog","Avustralya Sığır Köpeği"
"Australian Kelpie","Group 1: Sheepdogs and Cattledogs","Foundation Stock Services","Australská kelpie","Australischer Kelpie","Ausztrál kelpie","オーストラリアン・ケルピー","Kelpie australijski","Avustralyalı Kelpie"
"Australian Shepherd","Group 1: Sheepdogs and Cattledogs","Herding Group","Australský ovčák","Australischer Schäferhund","Ausztrál juhászkutya","オーストラリアンシェパード","Owczarek australijski","Avustralyalı Çoban Köpeği"
"Australian Stumpy Tail Cattle Dog",NA,"Foundation Stock Services","Australský honácký pes s krátkým ocasem","Australischer Stumpy Tail Cattle Dog","Ausztrál csonkafarkú pásztorkutya","オーストラリアン・スタンピーテイル・キャトル・ドッグ","Australijski Cattle Dog o krótkim ogonie","Avustralya Kısa Kuyruklu Sığır Köpeği"
"Australian Terrier","Group 3: Terriers","Terrier Group","Australský terier","Australischer Terrier","Ausztrál terrier","オーストラリアン・テリア","Terrier australijski","Avustralya Teriyeri"
"Austrian Black and Tan Hound","Group 6: Scent hounds and related breeds",NA,"Rakouský krátkosrstý honič","Österreichischer Schwarzbrauner Laufhund","Osztrák fekete-cser kopó","オーストリアン・ブラック・アンド・タン・ハウンド","Gończy austriacki czarno-podpalany","Avusturya Siyah ve Kahverengi Tazısı"
"Austrian Pinscher","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Rakouský pinč","Österreichischer Pinscher","Osztrák pincser","オーストリアン・ピンシャー","Pinczer austriacki","Avusturya Pinscher"
"Azawakh",NA,"Hound Group","Azavak","Azawakh","Azawakh","アザワク","Azawakh","Azawakh"
"Barak","Group 6: Scent hounds and related breeds",NA,"Bosenský hrubosrstý honič - Barak","Barak","Bárák","バラク","Barak","Barak"
"Barbet","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Barbet","Barbet","Barbet","バルビー","Barbet","Sakallı bülbül"
"Basenji","Group 5: Spitz and primitive types","Hound Group","Basenji","Basenji","Basenji","バセンジー","Basenji","Basenji"
"Basset Artesien Normand","Group 6: Scent hounds and related breeds",NA,"Artésko-normandský basset","Basset Artésien Normand","Basset Artésien Normand","バセット・アルテジアン・ノルマン","Basset Artesien Normand","Basset Artesien Normand"
"Basset Bley de Gascogne","Group 6: Scent hounds and related breeds",NA,"Basset Bley de Gascogne","Basset Bley de Gascogne","Gascogne-i basset bley","バセット・ブレイ・ド・ガスコーニュ","Basset Bley de Gascogne","Basset Bley de Gascogne"
"Basset Fauve de Bretagne","Group 6: Scent hounds and related breeds","Working Group","Basset Fauve de Bretagne","Basset Fauve de Bretagne","Bretagne-i fauve basset","バセット・フォーヴ・ド・ブルターニュ","Basset Fauve de Bretagne","Basset Fauve de Bretagne"
"Basset Hound","Group 6: Scent hounds and related breeds","Hound Group","Basset Hound","Basset","Basset Hound","バセットハウンド","Basset Hound","Basset Tazısı"
"Bavarian Mountain Hound","Group 6: Scent hounds and related breeds","Foundation Stock Services","Bavorský barvář","Bayerischer Gebirgsschweißhund","Bajor hegyi véreb","バイエルン・マウンテン・ハウンド","Bawarski pies gończy","Bavyera Dağ Tazısı"
"Beagle","Group 6: Scent hounds and related breeds","Hound Group","Bígl","Beagle","Vizsla","ビーグル","Beagle","Beagle"
"Beagle Harrier","Group 6: Scent hounds and related breeds",NA,"Harrier","Beagle Harrier","Beagle Harrier","ビーグルハリアー","Beagle Harrier","Beagle Harrier"
"Bearded Collie","Group 1: Sheepdogs and Cattledogs","Herding Group","Bearded kolie","Bearded Collie","Szakállas collie","ビアデッド・コリー","Bearded collie","Sakallı Collie"
"Beauceron","Group 1: Sheepdogs and Cattledogs","Herding Group","Beauceron","Beauceron","Beauceron","ボースロン","Beauceron","Beauceron"
"Bedlington Terrier","Group 3: Terriers","Terrier Group","Bedlington terier","Bedlington Terrier","Bedlington terrier","ベドリントン・テリア","Bedlington Terrier","Bedlington Teriyeri"
"Belgian Laekenois",NA,"Herding Group","Belgický ovčák - Laekenois","Belgisches Laekenois","Belga juhászkutya (laekenois)","ベルジアン・シェパード・ドッグ・ラケノア","Belgijski Laekenois","Belçika Laekenois"
"Belgian Malinois","Group 1: Sheepdogs and Cattledogs","Herding Group","Belgický ovčák - Malinois","Belgischer Malinois","Belga juhászkutya (malinois)","ベルジアン・シェパード・ドッグ・マリノア","Owczarek belgijski malinois","Belçika Malinois"
"Belgian Sheepdog","Group 1: Sheepdogs and Cattledogs","Herding Group","Belgický ovčák - Groenendael","Belgischer Schäferhund","Belga juhászkutya","ベルジアン・シープドッグ","Groenendael","Belçika Çoban Köpeği"
"Belgian Tervuren",NA,"Herding Group","Belgický ovčák - Tervueren","Belgischer Tervuren","Belga juhászkutya (tervueren)","ベルギー・タービュレン","Belgijski Tervuren","Belçika Tervuren"
"Bergamasco","Group 1: Sheepdogs and Cattledogs","Herding Group","Bergamský ovčák","Bergamasco","Bergamasco","ベルガマスコ","Bergamasco","Bergamasko"
"Berger Blanc Suisse","Group 1: Sheepdogs and Cattledogs",NA,"Bílý švýcarský ovčák","Berger Blanc Suisse","Berger Blanc Suisse","ホワイト・スイス・シェパード","Berger Blanc Suisse","Berger Blanc İsviçre"
"Berger Picard",NA,"Herding Group","Pikardský ovčák","Berger Picard","Berger Picard","ピカルディ・シープドッグ","Berger Picard","Berger Picard"
"Bernese Mountain Dog","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Bernský salašnický pes","Berner Sennenhund","Berni pásztorkutya","バーニーズ・マウンテン・ドッグ","Berneński pies pasterski","Bernese Dağ Köpeği"
"Bichon Frisé","Group 9: Companion and Toy Dogs","Non-Sporting Group","Bišonek","Bichon Frisé","Bichon Frisé","ビション・フリーゼ","Bichon frisé","Bichon Frise"
"Biewer Terrier",NA,"Toy Group","Biewer teriér","Biewer Terrier","Biewer terrier","ビエバー・テリア","Biewer Terrier","Biewer Teriyeri"
"Billy","Group 6: Scent hounds and related breeds",NA,"Billy","Billy","Fütykösbot","ビリー","Billy","Billy"
"Black Mouth Cur",NA,NA,"Black Mouth Cur","Black Mouth Cur","Fekete szájú curly","ブラックマウスカー","Czarny pies pasterski","Siyah Ağız Cur"
"Black Russian Terrier",NA,NA,"Ruský černý terier","Schwarzer Russischer Terrier","Fekete orosz terrier","ブラック・ロシアン・テリア","Czarny terier rosyjski","Siyah Rus Teriyeri"
"Black and Tan Coonhound","Group 6: Scent hounds and related breeds","Hound Group","Black and Tan Coonhound","Black and Tan Coonhound","Fekete-cser mosómedvekopó","ブラック・アンド・タン・クーンハウンド","Czarno-podpalany Coonhound","Siyah ve Kahverengi Coonhound"
"Bloodhound","Group 6: Scent hounds and related breeds",NA,"Bloodhound","Bluthund","Véreb","ブラッドハウンド","Ogar","Kan tazısı"
"Bluetick Coonhound",NA,NA,"Bluetick Coonhound","Bluetick Coonhound","Kék mosómedvekopó","ブルーティック・クーンハウンド","Bluetick Coonhound","Mavi keneli Coonhound"
"Boerboel","Working Group",NA,"Boerboel","Boerboel","Boerboel","ボーアボール","Boerboel","Boerboel"
"Bolognese","Group 9: Companion and Toy Dogs","Miscellaneous Class","Boloňský psík","Bolognese","Bolognai pincs","ボロニーズ","Bolończyk","Bolonez"
"Border Collie","Group 1: Sheepdogs and Cattledogs","Herding Group","Border kolie","Border Collie","Border Collie","ボーダーコリー","Border Collie","Border Collie"
"Border Terrier","Group 3: Terriers","Terrier Group","Border teriér","Border Terrier","Határterrier","ボーダーテリア","Border Terrier","Sınır Teriyeri"
"Borzoi",NA,"Hound Group","Barzoj - ruský chrt","Barsoi","Borzoi","ボルゾイ","Borzoj","Borzoi"
"Boston Terrier","Group 9: Companion and Toy Dogs","Non-Sporting Group","Bostonský teriér","Boston Terrier","Bostoni terrier","ボストンテリア","Boston Terrier","Boston Teriyeri"
"Bouvier des Ardennes",NA,NA,"Ardenský bouvier","Bouvier des Ardennes","Ardenni pásztorkutya","ブービエ・デ・アルデンヌ","Bouvier des Ardennes","Ardenler Bulvarı"
"Bouvier des Flandres","Group 1: Sheepdogs and Cattledogs","Herding Group","Flanderský bouvier","Bouvier des Flandres","Flandriai pásztorkutya","ブービエ・デ・フランダース","Bouvier des Flandres","Bouvier des Flandres"
"Boxer","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Boxer","Boxer","Boxer","ボクサー","Bokser","Boksör"
"Boykin Spaniel",NA,"Sporting Group","Boykin španěl","Boykin Spaniel","Boykin spániel","ボイキンスパニエル","Boykin Spaniel","Boykin Spaniel"
"Bracco Italiano",NA,"Sporting Group","Italský ohař","Bracco Italiano","Olasz vizsla","ブラッコ・イタリアーノ","Bracco Italiano","İtalyan Bracco"
"Braque Francais Pyrenean","Group 7: Pointing Dogs","Foundation Stock Services","Francouzský ihař krátkosrstý pyren. typu","Französische Pyrenäen-Braque","Francia vizsla","ピレニアン・ポインター","Braque Francais Pyrenean","Braque Francais Pirene"
"Braque Saint-Germain","Group 7: Pointing Dogs","Foundation Stock Services","Saint-Germaninský ohař krátkosrstý","Braque Saint-Germain","Saint-Germain vizsla","サンジェルマン・ポインター","Braque Saint-Germain","Braque Saint-Germain"
"Braque d'Auvergne","Group 7: Pointing Dogs",NA,"Auvergneský ohař krátkosrstý","Braque d'Auvergne","Auvergne-i vizsla","オーヴェルニュ・ポインター","Braque d'Auvergne","Braque d&#39;Auvergne"
"Braque de l'Ariege",NA,NA,"Ariegský ohař krátkosrstý","Braque de l'Ariege","Ariège-i vizsla","アリエージュ・ポインター","Braque de l'Ariege","Braque de l&#39;Ariege"
"Braque du Bourbonnais","Group 7: Pointing Dogs","Foundation Stock Services","Bourbonský ohař krátkosrstý","Braque du Bourbonnais","Bourbonnai vizsla","ブルボネ・ポインター","Braque du Bourbonnais","Braque du Bourbonnais"
"Briard","Group 1: Sheepdogs and Cattledogs","Herding Group","Briard","Briard","Briard","ブリアード","Briard","Briard"
"Briquette Griffon Vendeen","Group 6: Scent hounds and related breeds",NA,"Briquet Griffon Vendéen","Brikett Griffon Vendéen","Griffon Vendéen brikett","ブリケット・グリフォン・ヴァンデーン","Brykiet Griffon Vendeen","Briket Griffon Vendeen"
"Brittany (American)",NA,"Sporting Group","Bretaňský ohař (Brittany American)","Brittany (Amerikanisch)","Brittany (amerikai)","ブリタニー（アメリカン）","Spaniel bretoński (amerykański)","Brittany (Amerikalı)"
"Brittany (French)","Group 7: Pointing Dogs","Sporting Group","Bretaňský ohař (Brittany French)","Bretagne (Französisch)","Bretagne (francia)","ブルターニュ（フレンチ）","Spaniel bretoński (francuski)","Bretanya (Fransızca)"
"Broholmer (Danish Broholmer)","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Foundation Stock Services","Dánska doga","Broholmer (Dänischer Broholmer)","Broholmer (dán broholmer)","ブロホルマー（デーニッシュ・ブロホルマー ）","Broholmer (duński Broholmer)","Broholmer (Danimarkalı Broholmer)"
"Brussels Griffon","Group 9: Companion and Toy Dogs","Toy Group","Bruselský grifonek","Brüsseler Griffon","Brüsszeli griffon","ブリュッセル・グリフォン","Gryf brukselski","Brüksel Griffon"
"Bull Terrier",NA,"Terrier Group","Bulteriér","Bullterrier","Bullterrier","ブルテリア","Bull Terrier","Bull Terrier"
"Bulldog","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Non-Sporting Group","Anglický buldok","Bulldogge","Buldog","ブルドッグ","Buldog","Bulldog"
"Bullmastiff","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Bullmastiff","Bullmastiff","Bullmasztiff","ブルマスティフ","Bullmastif","Bullmastiff"
"CIobanesc Romanesc Mioritic","Group 1: Sheepdogs and Cattledogs",NA,"Rumunský mioritský ovčák","CIobanesc Romanesc Mioritic","Ciobanesc román mioritikus","ルーマニアン・ミオリティック・シープドッグ","CIobanesc Romanesc Mioritic","CIobanesc Romanesc Miyoritic"
"Ca de Bestiar",NA,NA,"Malorský ovčák","Ca de Bestiar","Ca de Bestiar","カ・デ・ベスティアル","Ca de Bestiar","Ca de Bestiar"
"Cairn Terrier","Group 3: Terriers","Terrier Group","Cairn Terier","Cairn Terrier","Cairn terrier","ケアン・テリア","Cairn Terrier","Cairn Terrier"
"Canaan Dog","Group 5: Spitz and primitive types","Herding Group","Kanaánský pes","Kanaan-Hund","Kánaáni kutya","カナーン・ドッグ","Pies kananejski","Kenan Köpeği"
"Canadian Eskimo Dog","Group 5: Spitz and primitive types",NA,"Kanadský eskymácký pes","Kanadischer Eskimohund","Kanadai eszkimó kutya","カナディアン・エスキモー・ドッグ","Kanadyjski pies eskimoski","Kanada Eskimo Köpeği"
"Cane Corso","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Cane Corso","Cane Corso","Cane Corso","イタリアン・コルソ・ドッグ","Cane Corso","Cane Corso"
"Cardigan Welsh Corgi","Group 1: Sheepdogs and Cattledogs","Herding Group","Welsh Corgi Cardigan","Cardigan Welsh Corgi","Kardigán Welsh Corgi","カーディガン・ウェルシュ・コーギー","Welsh corgi cardigan","Cardigan Welsh Corgi"
"Carolina Dog",NA,NA,"Carolina Dog","Carolina Hund","Karolinai kutya","カロライナドッグ","Pies z Karoliny","Carolina Köpeği"
"Catahoula Leopard Dog",NA,"Foundation Stock Services","Louisianský leopardí pes","Catahoula Leopard Dog","Catahoula leopárdkutya","カタフーラ・レオパード・ドッグ","Catahoula Leopard","Catahoula Leopar Köpeği"
"Catalonian Sheepdog","Group 1: Sheepdogs and Cattledogs",NA,"Katalánský ovčák","Katalonischer Schäferhund","Katalán juhászkutya","カタロニアン・シープドッグ","Owczarek kataloński","Katalan Çoban Köpeği"
"Caucasian Ovcharka",NA,NA,"Kavkazský pastevecký pes","Kaukasischer Owtscharka","Kaukázusi juhászkutya","コーカシアン・シェパード・ドッグ","Owczarek kaukaski","Kafkas Çoban Tavuğu"
"Cavalier King Charles Spaniel","Group 9: Companion and Toy Dogs","Toy Group","Kavalír King Charles španěl","Cavalier King Charles Spaniel","Cavalier King Charles spániel","キャバリア・キング・チャールズ・スパニエル","Cavalier King Charles Spaniel","Cavalier King Charles Spaniel"
"Central Asian Shepherd Dog","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Foundation Stock Services","Středoasijský pastevecký pes","Zentralasiatischer Schäferhund","Közép-ázsiai juhászkutya","セントラル・アジア・シェパード・ドッグ","Owczarek środkowoazjatycki","Orta Asya Çoban Köpeği"
"Cesky Terrier","Group 3: Terriers","Terrier Group","Český teriér","Cesky Terrier","Cesky terrier","チェスキー・テリア","Czeski terier","Çek Teriyeri"
"Chart Polski","Group 10: Sighthounds",NA,"Polský chrt","Chart Polski","Lengyel agár","チャート・ポルスキ","Chart polski","Grafik Polski"
"Chesapeake Bay Retriever","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Chesapeake Bay Retriever","Chesapeake Bay Retriever","Chesapeake Bay retriever","チェサピークベイレトリーバー","Chesapeake Bay Retriever","Chesapeake Körfezi Retriever&#39;ı"
"Chien Français Blanc Tricolore",NA,NA,"Francouzský trikolorní honič","Chien Français Blanc Tricolore","Trikolor francia kopó","シアン フランセ ブラン トリコロール","Chien Français Blanc Tricolore","Chien Français Blanc Üç Renkli"
"Chien Français Blanc et Noir",NA,NA,"Francouzský bílo-černý honič","Französischer weiß-schwarzer Laufhund","Fehér-fekete francia kopó","シアン・フランセ・ブラン・エ・ノワール","Chien Français Blanc et Noir","Chien Français Blanc et Noir"
"Chien Français Blanc et Orange",NA,NA,"Francouzský bílo-oranžový honič","Chien Français Blanc et Orange","Fehér-cser francia kopó","シアン フランセ ブラン エ オランジュ","Chien Français Blanc i Orange","Chien Français Blanc ve Orange"
"Chien d'Artois","Group 6: Scent hounds and related breeds",NA,"Artoisský honič","Chien d'Artois","Artois-i kopó","シアン・ダルトワ","Chien d'Artois","Artois Köpeği"
"Chihuahua","Group 9: Companion and Toy Dogs","Toy Group","Čivava","Chihuahua","Csivava","チワワ","Chihuahua","Çivava"
"Chinese Crested Dog","Group 9: Companion and Toy Dogs","Toy Group","Čínský chocholatý pes","Chinesischer Schopfhund","Kínai meztelen kutya","チャイニーズ・クレステッド・ドッグ","Grzywacz chiński","Çin Tepeli Köpeği"
"Chinese Shar Pei","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Non-Sporting Group","Shar-Pei","Chinesischer Shar Pei","Kínai Shar Pei","チャイニーズ・シャーペイ","Chiński Shar Pei","Çin Shar Pei"
"Chinook",NA,"Working Group","Chinook","Chinook","Chinook","チヌーク","Chinook","Chinook"
"Chow Chow","Group 5: Spitz and primitive types","Non-Sporting Group","Chow Chow","Chow-Chow","Csau-csu","チャウチャウ","Chow Chow","Çov Çov"
"Cimarron Uruguayo","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Uruguajský cimarron","Cimarron Uruguayo","Cimarron Uruguayo","シマロン・ウルグアヨ","Cimarron Urugwaj","Cimarron Uruguayo"
"Ciobanesc Romanesc Carpatin","Group 1: Sheepdogs and Cattledogs",NA,"Rumunský karpatský ovčák","Ciobanesc Romanesc Carpatin","Ciobanesc Romanesc Carpatin","カルパチアン・シェパード・ドッグ","Ciobanesc Romanesc Carpatin","Ciobanesc Romanesc Carpatin"
"Cirneco dell'Etna","Group 5: Spitz and primitive types","Hound Group","Sicilský chrt","Cirneco dell'Etna","Cirneco dell'Etna","チルネコ・デル・エトナ","Cirneco dell'Etna","Cirneco dell&#39;Etna"
"Clumber Spaniel","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Clumber španěl","Clumber Spaniel","Clumber spániel","クランバースパニエル","Clumber Spaniel","Clumber Spaniel"
"Cocker Spaniel (American)","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Americký kokršpaněl","Cocker Spaniel (Amerikanisch)","Cocker spániel (amerikai)","コッカースパニエル（アメリカン）","Cocker spaniel (amerykański)","Cocker Spaniel (Amerikan)"
"Collie (Rough/Smooth)","Group 1: Sheepdogs and Cattledogs","Herding Group","Kolie krátkosrstá","Collie (Rauhaar/Glatthaar)","Collie (durva/sima szőrű)","コリー（ラフ/スムース）","Owczarek szkocki collie (długowłosy/krótkowłosy)","Collie (Pürüzlü/Pürüzsüz)"
"Coton de Tulear","Group 9: Companion and Toy Dogs","Non-Sporting Group","Coton de Tulear","Coton de Tuléar","Coton de Tulear","コトン・ド・テュレアール","Coton de Tulear","Coton de Tulear"
"Crnogorski Planinski Gonic (Montenegrin Mountain Hound)","Group 6: Scent hounds and related breeds",NA,"Černohorský planinský honič","Crnogorski Planinski Gonic (Montenegrinischer Gebirgshund)","Crnogorski Planinski Gonic (montenegrói hegyi kopó)","クロノゴルスキー・プラニンスキー・ゴニッチ（モンテネグロ・マウンテン・ハウンド）","Czarnogórski gończy górski","Crnogorski Planinski Gonic (Karadağ Dağ Tazısı)"
"Croatian Sheepdog","Group 1: Sheepdogs and Cattledogs","Foundation Stock Services","Chorvatský ovčák","Kroatischer Schäferhund","Horvát juhászkutya","クロアチアン・シープドッグ","Owczarek chorwacki","Hırvat Çoban Köpeği"
"Curly-Coated Retriever","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Curly-Coated Retriever","Curly Coated Retriever","Göndör szőrű retriever","カーリーコート・レトリーバー","Curly-Coated Retriever","Kıvırcık Tüylü Retriever"
"Czechoslovakian Vlcak","Group 1: Sheepdogs and Cattledogs","Miscellaneous Class","Československý vlčák","Tschechoslowakischer Vlcak","Csehszlovák Vlcak","チェコスロバキアン・ウルフドッグ","Czechosłowacki Vlcak","Çekoslovak Vlcak"
"Cão Fila de São Miguel",NA,NA,"Chien Fila de Saint Miguel","Cão Fila de São Miguel","Azori-szigeteki kutya","カオ・フィラ・デ・サン・ミゲル","Cão Fila de São Miguel","Cão Fila de São Miguel"
"Cão de Castro Laboreiro","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Cão de Castro Laboreiro","Cão de Castro Laboreiro","Castro Laboreiro-i kutya","カオ・デ・カストロ・ラボレイロ","Cão de Castro Laboreiro","Cão de Castro Laboreiro"
"Dachshund (Longhaired/Smooth/Wirehaired)","Group 4: Dachshunds","Hound Group","Jezevčík standardní (Dlouhosrstý/Hladkosrstý/Drsnosrstý)","Dackel (Langhaar/Glatthaar/Rauhaar)","Tacskó (hosszú szőrű/sima/drótszőrű)","ダックスフント（ロングヘアー／スムース／ワイヤーヘア）","Jamnik (długowłosy/gładkowłosy/szorstkowłosy)","Dachshund (Uzun Tüylü/Düz Tüylü/Tel Tüylü)"
"Dachshund (Miniature)","Group 4: Dachshunds",NA,"Jezevčík králičí/trpasličí (Dlouhosrstý/Hladkosrstý/Drsnosrstý)","Dackel (Zwerg)","Tacskó (miniatűr)","ダックスフント（ミニチュア）","Jamnik (miniaturowy)","Dachshund (Minyatür)"
"Dalmatian","Group 6: Scent hounds and related breeds","Non-Sporting Group","Dalmatin","Dalmatiner","Dalmata","ダルメシアン","Dalmatyńczyk","Dalmaçyalı"
"Dandie Dinmont Terrier","Group 3: Terriers","Terrier Group","Dandie Dinmont terier","Dandie Dinmont Terrier","Dandie Dinmont terrier","ダンディ・ディンモント・テリア","Dandie Dinmont Terrier","Dandie Dinmont Teriyeri"
